sep=;
"res_entry_id";"pers_id";"country_abb";"res_entry_start";"res_entry_end";"res_entry_raw";"res_entry_id_person_prefix"
"NL_vanderHeijde_J_1796__5";"NL_vanDoorn_Elisa_1799";"NL";"13feb1849";"20aug1850";"lid Tweede Kamer der Staten-Generaal van 13 februari 1849 tot 20 augustus 1850 (voor het kiesdistrict IJsselstein)";"NL_vanderHeijde_J_1796"
"NL_vanderHeijde_J_1796__6";"NL_vanDoorn_Elisa_1799";"NL";"07oct1850";"27mar1853";"lid Tweede Kamer der Staten-Generaal van 7 oktober 1850 tot 27 maart 1853 (voor het kiesdistrict Utrecht)";"NL_vanderHeijde_J_1796"
