sep=;
"pers_id";"id_ch_parliament";"wikidata_id";"last_name";"first_name"
"CH_Basler_Konrad_1929";718;"";"Basler";"Konrad"
"CH_Baudat_Maurice_1888";1466;"";"Baudat";"Maurice"
"CH_Bauder_Robert_1916";1467;"";"Bauder";"Robert"
"CH_Baudere_Raymond_1920";1177;"";"Baudere";"Raymond"
"CH_Bauer_Albert_1911";1468;"";"Bauer";"Albert"
"CH_Bauer_Philippe_1962";4187;"";"Bauer";"Philippe"
"CH_Baumann_Josef_1942";304;"";"Baumann";"Josef-Alexander"
"CH_Baumann_Ruedi_1947";9;"";"Baumann";"Ruedi"
"CH_Baumann_Stephanie_1951";269;"";"Baumann-Bieri";"Stephanie"
"CH_Baumann_Walter_1914";1475;"";"Baumann";"Walter"
"CH_Baumberger_Hans_1932";702;"";"Baumberger";"Hans-Ulrich"
"CH_Baumberger_Peter_1942";10;"";"Baumberger";"Peter"
"CH_Baumgartner_David_1908";1479;"";"Baumgartner";"David"
"CH_Baumgartner_Emil_1905";1480;"";"Baumgartner";"Emil"
"CH_Baumgartner_Franz_1926";1481;"";"Baumgartner";"Franz"
"CH_Beck_Carl_1894";1485;"";"Beck";"Carl"
"CH_Beck_Marcel_1908";1488;"";"Beck";"Marcel"
"CH_Beck_Serge_1955";419;"";"Beck";"Serge"
"CH_Begle_Claude_1949";4182;"";"Begle";"Claude"
"CH_Beguelin_Michel_1936";246;"";"Beguelin";"Michel"
"CH_Bendahan_Samuel_1980";4213;"";"Bendahan";"Samuel"
"CH_Berberat_Didier_1956";305;"";"Berberat";"Didier"
"CH_Berger_Claude_1921";1499;"";"Berger";"Claude"
"CH_Berger_Fritz_1897";1500;"";"Berger";"Fritz"
"CH_Berger_Gallus_1903";1501;"";"Berger";"Gallus"
"CH_Berger_Hermann_1905";1503;"";"Berger";"Hermann"
"CH_Berger_Jean_1929";247;"";"Berger";"Jean-Pierre"
"CH_Bernasconi_Madeleine_1939";451;"";"Bernasconi";"Madeleine"
"CH_Bernhardsgruetter_Urs_1962";1321;"";"Bernhardsgruetter";"Urs"
"CH_Bernoulli_Hans_1876";1512;"";"Bernoulli";"Hans"
"CH_Bertholet_Raymond_1909";1515;"";"Bertholet";"Raymond"
"CH_Berthoud_Henri_1877";1517;"";"Berthoud";"Henri"
"CH_Bertschy_Kathrin_1979";4102;"";"Bertschy";"Kathrin"
"CH_Besuchet_Roger_1928";1179;"";"Besuchet";"Roger"
"CH_Bezzola_Duri_1942";14;"";"Bezzola";"Duri"
"CH_Biderbost_Paul_1927";656;"";"Biderbost";"Paul"
"CH_Biel_Walter_1933";721;"";"Biel";"Walter-E"
"CH_Bienz_Otto_1910";1529;"";"Bienz";"Otto"
"CH_Bieri_Ernst_1920";1530;"";"Bieri";"Ernst"
"CH_Bigger_Elmar_1949";452;"";"Bigger";"Elmar"
"CH_Bigler_Hans_1958";4209;"";"Bigler";"Hans-Ulrich"
"CH_Bignasca_Attilio_1943";1105;"";"Bignasca";"Attilio"
"CH_Bignasca_Giuliano_1945";279;"";"Bignasca";"Giuliano"
"CH_Bill_Max_1908";1533;"";"Bill";"Max"
"CH_Binder_Julius_1925";623;"";"Binder";"Julius"
"CH_Binder_Max_1947";15;"";"Binder";"Max"
"CH_Bircher_Ernst_1910";1538;"";"Bircher";"Ernst"
"CH_Bircher_Eugen_1882";1539;"";"Bircher";"Eugen"
"CH_Bircher_Peter_1939";16;"";"Bircher";"Peter"
"CH_Bircher_Silvio_1945";17;"";"Bircher";"Silvio"
"CH_Birrer_Julius_1909";1543;"";"Birrer";"Julius"
"CH_Birrer_Prisca_1959";4030;"";"Birrer-Heimo";"Prisca"
"CH_Bischof_Leonhard_1957";18;"";"Bischof";"Leonhard"
"CH_Bischof_Pirmin_1959";3871;"";"Bischof";"Pirmin"
"CH_Blanc_Edmond_1908";1548;"";"Blanc";"Edmond"
"CH_Blaser_Adolf_1908";1550;"";"Blaser";"Adolf"
"CH_Blaser_Emmanuella_1945";306;"";"Blaser";"Emmanuella"
"CH_Blatter_Ulrich_1940";20;"";"Blatter";"Ulrich"
"CH_Blatti_Fritz_1910";1553;"";"Blatti";"Fritz"
"CH_Blocher_Christoph_1940";21;"";"Blocher";"Christoph"
"CH_Blum_Andreas_1938";1273;"";"Blum";"Andreas"
"CH_Blunschy_Elisabeth_1922";553;"";"Blunschy-Steiner";"Elisabeth"
"CH_Bochatay_Armand_1915";1562;"";"Bochatay";"Armand"
"CH_Bodenmann_Marino_1893";1565;"";"Bodenmann";"Marino"
"CH_Bodenmann_Peter_1952";23;"";"Bodenmann";"Peter"
"CH_Boehni_Thomas_1964";4050;"";"Boehni";"Thomas"
"CH_Boerlin_Ernst_1905";1567;"";"Boerlin";"Ernst"
"CH_Boesch_Emil_1909";1608;"";"Boesch";"Emil"
"CH_Boffa_Amedeo_1900";1569;"";"Boffa";"Amedeo"
"CH_Bommer_Alois_1913";1583;"";"Bommer";"Alois"
"CH_Boner_Adolf_1901";1586;"";"Boner";"Adolf"
"CH_Bonnard_Claude_1922";554;"";"Bonnard";"Claude"
"CH_Bonny_Jean_1931";24;"";"Bonny";"Jean-Pierre"
"CH_Bonvin_Hubert_1944";722;"";"Bonvin";"Hubert"
"CH_Bonvin_Roger_1907";1593;"";"Bonvin";"Roger"
"CH_Bordoni_Rodolfo_1897";1597;"";"Bordoni";"Rodolfo"
"CH_Borel_Alfred_1902";1598;"";"Borel";"Alfred"
"CH_Borel_Francois_1948";25;"";"Borel";"Francois"
"CH_Borel_Georges_1900";1599;"";"Borel";"Georges"
"CH_Borella_Achille_1908";1603;"";"Borella";"Achille-Ottorino"
"CH_Borella_Francesco_1883";1604;"";"Borella";"Francesco-Nino"
"CH_Borer_Roland_1951";26;"";"Borer";"Roland-F"
"CH_Borloz_Frederic_1966";4188;"";"Borloz";"Frederic"
"CH_Borradori_Marco_1959";27;"";"Borradori";"Marco"
"CH_Bortoluzzi_Toni_1947";28;"";"Bortoluzzi";"Toni"
"CH_Bosshard_Walter_1950";385;"";"Bosshard";"Walter"
"CH_Bossi_Bixio_1896";1617;"";"Bossi";"Bixio"
"CH_Bourgeois_Jacques_1958";3872;"";"Bourgeois";"Jacques"
"CH_Bourgknecht_Jean_1902";1622;"";"Bourgknecht";"Jean-Francois"
"CH_Braem_Walter_1915";1625;"";"Braem";"Walter"
"CH_Braendli_Heinrich_1900";1628;"";"Braendli";"Heinrich"
"CH_Brand_Heinz_1955";4067;"";"Brand";"Heinz"
"CH_Bratschi_Heinz_1925";557;"";"Bratschi";"Heinz"
"CH_Bratschi_Robert_1891";1632;"";"Bratschi";"Robert"
"CH_Braunschweig_Hansjoerg_1930";723;"";"Braunschweig";"Hansjoerg"
"CH_Brawand_Marcel_1907";1634;"";"Brawand";"Marcel"
"CH_Brawand_Samuel_1898";1635;"";"Brawand";"Samuel"
"CH_Brechbuehl_Fritz_1897";1636;"";"Brechbuehl";"Fritz"
"CH_Bregy_Philipp_1978";;"";"Bregy";"Philipp-Matthias"
"CH_Breitenmoser_Albin_1920";1638;"";"Breitenmoser-Ebnoether";"Albin"
"CH_Brelaz_Daniel_1950";724;"";"Brelaz";"Daniel"
"CH_Bremi_Ulrich_1929";725;"";"Bremi-Forrer";"Ulrich"
"CH_Breny_Georges_1930";1180;"";"Breny";"Georges"
"CH_Bretscher_Otto_1911";1641;"";"Bretscher";"Otto"
"CH_Bretscher_Willy_1897";1642;"";"Bretscher";"Willy"
"CH_Bridel_Georges_1889";1644;"";"Bridel";"Georges"
"CH_Bringolf_Richard_1899";1646;"";"Bringolf";"Richard"
"CH_Bringolf_Walther_1895";1647;"";"Bringolf";"Walther"
"CH_Brochon_Albert_1899";1648;"";"Brochon";"Albert"
"CH_Broennimann_Andreas_1955";4014;"";"Broennimann";"Andreas"
"CH_Broger_Johann_1897";1651;"";"Broger";"Johann-Baptist-Albert"
"CH_Broger_Raymond_1916";1653;"";"Broger";"Raymond"
"CH_Brogle_Theodor_1893";1654;"";"Brogle";"Theodor"
"CH_Brosi_Georg_1916";1656;"";"Brosi";"Georg"
"CH_Bruderer_Jakob_1890";1658;"";"Bruderer";"Jakob"
"CH_Bruderer_Pascale_1977";823;"";"Bruderer-Wyss";"Pascale"
"CH_Bruegger_Cyrill_1938";29;"";"Bruegger";"Cyrill"
"CH_Bruggmann_Paul_1913";1664;"";"Bruggmann";"Paul"
"CH_Bruhin_Armin_1912";1665;"";"Bruhin";"Armin"
"CH_Brun_Franz_1943";1059;"";"Brun";"Franz"
"CH_Brunner_Andreas_1923";1669;"";"Brunner";"Andreas-C"
"CH_Brunner_Christiane_1947";30;"";"Brunner";"Christiane"
"CH_Brunner_Hansjoerg_1966";4215;"";"Brunner";"Hansjoerg"
"CH_Brunner_Max_1893";1672;"";"Brunner";"Max"
"CH_Brunner_Toni_1974";307;"";"Brunner";"Toni"
"CH_Brunschwig_Martine_1950";1144;"";"Brunschwig-Graf";"Martine"
"CH_Bucher_Kurt_1898";1680;"";"Bucher";"Kurt"
"CH_Bucher_Rudolf_1899";1681;"";"Bucher";"Rudolf"
"CH_Buechel_Roland_1965";4025;"";"Buechel";"Roland-Rino"
"CH_Buechi_Traugott_1907";1683;"";"Buechi";"Traugott"
"CH_Buechler_Jakob_1952";1104;"";"Buechler";"Jakob"
"CH_Buehler_Christian_1903";1688;"";"Buehler";"Christian"
"CH_Buehler_Manfred_1979";4157;"";"Buehler";"Manfred"
