sep=;
"mismatch_type";"expected_parliament_ids";"days_start_vs_period";"days_end_vs_period";"res_entry_id";"pers_id";"res_entry_start";"res_entry_end";"parliament_id"
"starts_before_period,ends_after_period";"CA_NT-HC_1957;CA_NT-HC_1958;CA_NT-HC_1962;CA_NT-HC_1963;CA_NT-HC_1966;CA_NT-HC_1968";-126;58;"CA_Aiken_Gordon_1918__01";"CA_Aiken_Gordon_1918";"10jun1957";"29oct1972";"CA_NT-HC_1957;CA_NT-HC_1958;CA_NT-HC_1962;CA_NT-HC_1963;CA_NT-HC_1966;CA_NT-HC_1968"
"starts_before_period";"CA_NT-HC_1911";-55;-905;"CA_Aikins_James_1851__01";"CA_Aikins_James_1851";"21sep1911";"15apr1915";"CA_NT-HC_1911"
"starts_before_period";"CA_NT-HC_2019;CA_NT-HC_2021;CA_NT-HC_2025";-45;-268;"CA_Aitchison_Scott_1973__01";"CA_Aitchison_Scott_1973";"21oct2019";"07apr2026";"CA_NT-HC_2019;CA_NT-HC_2021;CA_NT-HC_2025"
"starts_before_period,ends_after_period";"CA_NT-HC_1953;CA_NT-HC_1957;CA_NT-HC_1958";-94;59;"CA_Aitken_Margaret_1908__01";"CA_Aitken_Margaret_1908";"10aug1953";"17jun1962";"CA_NT-HC_1953;CA_NT-HC_1957;CA_NT-HC_1958"
"starts_before_period,ends_after_period";"CA_NT-HC_1997";-112;35;"CA_Alarie_Helene_1941__01";"CA_Alarie_Helene_1941";"02jun1997";"26nov2000";"CA_NT-HC_1997"
"starts_before_period,ends_after_period";"CA_NT-HC_2011";-31;77;"CA_Albas_Dan_9999__01";"CA_Albas_Dan_9999";"02may2011";"18oct2015";"CA_NT-HC_2011"
"starts_before_period,ends_after_period";"CA_NT-HC_2015;CA_NT-HC_2019;CA_NT-HC_2021";-45;35;"CA_Albas_Dan_9999__02";"CA_Albas_Dan_9999";"19oct2015";"27apr2025";"CA_NT-HC_2015;CA_NT-HC_2019;CA_NT-HC_2021"
"starts_before_period";"CA_NT-HC_2025";-28;-268;"CA_Albas_Dan_9999__03";"CA_Albas_Dan_9999";"28apr2025";"07apr2026";"CA_NT-HC_2025"
"starts_before_period,ends_after_period";"CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011;CA_NT-HC_2015";-70;39;"CA_Albrecht_Harold_1949__01";"CA_Albrecht_Harold_1949";"23jan2006";"20oct2019";"CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011;CA_NT-HC_2015"
"starts_before_period,ends_after_period";"CA_NT-HC_1994;CA_NT-HC_1997;CA_NT-HC_2001;CA_NT-HC_2004";-84;54;"CA_Alcock_Reginald_1948__01";"CA_Alcock_Reginald_1948";"25oct1993";"22jan2006";"CA_NT-HC_1994;CA_NT-HC_1997;CA_NT-HC_2001;CA_NT-HC_2004"
"starts_before_period,ends_after_period";"CA_NT-HC_1901";-91;34;"CA_Alcorn_George_1850__01";"CA_Alcorn_George_1850";"07nov1900";"02nov1904";"CA_NT-HC_1901"
