sep=;
"pers_id";"id_nl_pdc_num";"id_nl_pdc_code";"id_nl_pdc_bio_id";"id_nl_pdc_slug";"last_name";"first_name";"death_date"
"NL_Bisschop_Roelof_1956";3353;"vj0ob8scsw3o";22202;"dr-r-roelof-bisschop";"Bisschop";"Roelof";
"NL_Blaauw_Jan_1941";2602;;19200;"jd-jan-dirk-blaauw";"Blaauw";"Jan-Dirk";
"NL_Blanksma_Elly_1959";3049;;21343;"pjmg-elly-blanksma-van-den-heuvel";"Blanksma-vandenHeuvel";"Elly";
"NL_Blauw_Piet_1939";2661;;19259;"pm-piet-blauw";"Blauw";"Piet";
"NL_Bloemen_Liesbeth_1954";2613;;19211;"mr-egem-liesbeth-bloemen";"Bloemen";"Liesbeth";
"NL_Blok_Stef_1964";2205;"vg09lljqj5z3";19030;"drs-sa-stef-blok";"Blok";"Stef";
"NL_Blom_Luuk_1957";2408;;21026;"l-luuk-blom";"Blom";"Luuk";
"NL_Boekestijn_Arend_1959";3062;;21345;"drs-aj-arend-jan-boekestijn";"Boekestijn";"Arend-Jan";
"NL_Boelhouwer_Jan_1950";2402;;21018;"dr-ajw-jan-boelhouwer";"Boelhouwer";"Jan";
"NL_Boers_Mieke_1946";2825;;19423;"drs-mha-mieke-boers-wijnberg";"Boers-Wijnberg";"Mieke";
"NL_Bolhuis_Eppo_1953";1845;;18735;"drir-ee-eppo-bolhuis";"Bolhuis";"Eppo";
"NL_Bolkestein_Frits_1933";2604;;19202;"mrdrs-f-frits-bolkestein";"Bolkestein";"Frits";
"NL_Bonis_Desiree_1959";3341;"vj0kbaxtj4i0";22191;"de-desiree-bonis";"Bonis";"Desiree";
"NL_Bonke_Vic_1940";2355;;20947;"dr-fim-vic-bonke";"Bonke";"Vic";
"NL_Bontes_Louis_1956";16079;"vi5kc6hz68xb";21799;"drs-l-louis-bontes";"Bontes";"Louis";
"NL_Bos_Frederik_1866";176;;17067;"f-bos";"Bos";"Frederik";
"NL_Bos_Wouter_1963";2212;;19037;"drs-wj-wouter-bos";"Bos";"Wouter";
"NL_Bosma_Martin_1964";3127;"vhfw2rplymlk";21439;"m-martin-bosma";"Bosma";"Martin";
"NL_Bosma_Remco_1971";3456;"vjt3d7ayk1nk";22515;"ir-rpg-remco-bosma";"Bosma";"Remco";
"NL_Bosman_Andre_1965";3252;"vif4b94gg7u8";21923;"andre-bosman";"Bosman";"Andre";
"NL_Bosman_Clemens_1946";2786;;19384;"cma-clemens-bosman";"Bosman";"Clemens";
"NL_Bouali_Achraf_1974";3521;"vk9hbobhwguk";22773;"achraf-bouali";"Bouali";"Achraf";
"NL_Bouchibti_Samira_1970";3081;;21378;"s-samira-bouchibti";"Bouchibti";"Samira";
"NL_Bouwmeester_Lea_1979";3082;"vhekc59mytnr";21375;"lth-lea-bouwmeester";"Bouwmeester";"Lea";
"NL_Braakhuis_Bruno_1961";3227;;21879;"bam-bruno-braakhuis";"Braakhuis";"Bruno";
"NL_Brandsen_Bertus_1914";194;;17085;"b-bertus-brandsen";"Brandsen";"Bertus";
"NL_Bremmer_Cees_1948";2569;;19191;"mrdrs-c-cees-bremmer";"Bremmer";"Cees";
"NL_Brinkel_Theo_1958";2440;;20999;"dr-thbfm-theo-brinkel";"Brinkel";"Theo";
"NL_Brinkhorst_Laurens_1937";1738;;18628;"mr-lj-laurens-jan-brinkhorst";"Brinkhorst";"Laurens-Jan";
"NL_Brinkman_Elco_1948";2748;;19346;"mrdrs-lc-elco-brinkman";"Brinkman";"Elco";
"NL_Brinkman_Hero_1964";3099;;21428;"h-hero-brinkman";"Brinkman";"Hero";
"NL_Broekhuis_Bert_1943";2708;;19306;"drs-ewh-bert-broekhuis";"Broekhuis";"Bert";
"NL_Brouwer_Harm_1957";3422;"vjpljp945uu1";22474;"h-harm-brouwer";"Brouwer";"Harm";
"NL_Brouwer_Ina_1950";2662;;19260;"mr-i-ina-brouwer";"Brouwer";"Ina";
"NL_Bruins_Eppo_1969";3332;"vj0dhyyrqnij";22180;"eew-eppo-bruins";"Bruins";"Eppo";
"NL_Bruins_Hanke_1977";3221;"viej19fsg3z9";21888;"mrdrs-hgj-hanke-bruins-slot";"Bruins-Slot";"Hanke";
"NL_Bruls_Hubert_1966";2376;;20972;"drs-hmf-hubert-bruls";"Bruls";"Hubert";
"NL_Buijs_Siem_1944";2213;;19038;"drs-s-siem-buijs";"Buijs";"Siem";
"NL_Bukman_Piet_1934";2659;;19257;"drs-p-piet-bukman";"Bukman";"Piet";
"NL_Burggraaf_Piet_1931";241;;17132;"pa-piet-burggraaf";"Burggraaf";"Piet";
"NL_Bussemaker_Jet_1961";2251;;19076;"profdr-m-jet-bussemaker";"Bussemaker";"Jet";
"NL_Buurmeijer_Flip_1940";2636;;19234;"jf-flip-buurmeijer";"Buurmeijer";"Flip";
"NL_Ceder_Don_1989";3492;"vk8fd7yghuzt";22640;"dgm-don-ceder";"Ceder";"Don";
"NL_Cegerek_Yasemin_1977";3409;"vjah9jrm3o66";22334;"y-yasemin-cegerek";"Cegerek";"Yasemin";
"NL_Celik_Metin_1970";3245;;21942;"m-metin-celik";"Celik";"Metin";
"NL_Cherribi_Sam_1959";2505;;19127;"dr-o-sam-cherribi";"Cherribi";"Sam";
"NL_Coeruez_Coskun_1963";2294;;19119;"mr-c-coskun-coruz";"Coeruez";"Coskun";
"NL_Cohen_Job_1947";2657;;19255;"dr-mj-job-cohen";"Cohen";"Job";
"NL_Cornelissen_Pam_1934";270;;17161;"ir-pam-pam-cornelissen";"Cornelissen";"Pam";
"NL_Cornielje_Clemens_1958";2506;;19128;"cga-clemens-cornielje";"Cornielje";"Clemens";
"NL_Cotterell_Grace_1937";2663;;19261;"eg-grace-cotterell";"Cotterell";"Grace";
"NL_Couprie_Henk_1930";2623;;19221;"dr-hch-henk-couprie";"Couprie";"Henk";
"NL_Cramer_Ernst_1960";3072;;21354;"ea-ernst-cramer";"Cramer";"Ernst";
"NL_Crone_Ferd_1954";2507;;19129;"drs-fjm-ferd-crone";"Crone";"Ferd";
"NL_deBeer_Pol_1934";1647;;18537;"ing-lm-pol-de-beer";"deBeer";"Pol";
"NL_deBoer_Betty_1971";16075;"vi4hdu1lhcka";21794;"mr-bg-betty-de-boer";"deBoer";"Betty";
"NL_deBoer_Hans_1937";1649;;18539;"ha-hans-de-boer";"deBoer";"Hans";
"NL_deBoer_Margreeth_1939";1849;;18739;"m-margreeth-de-boer";"deBoer";"Margreeth";
"NL_deCaluwe_Ingrid_1967";3261;"vifycam2jywl";21941;"drs-ish-ingrid-de-caluwe";"deCaluwe";"Ingrid";
"NL_deCloe_Dick_1947";2709;;19307;"dw-dick-de-cloe";"deCloe";"Dick";
"NL_Dees_Dick_1944";1657;;18547;"drs-djd-dick-dees";"Dees";"Dick";
"NL_Deetman_Wim_1945";2606;;19204;"drs-wj-wim-deetman";"Deetman";"Wim";
"NL_deGaay_Bas_1937";1667;;18557;"drmr-b-bas-de-gaay-fortman";"deGaay-Fortman";"Bas";
"NL_deGraaf_Arie_1947";1878;;18768;"mr-arie-de-graaf";"deGraaf";"Arie";
"NL_deGraaf_Jan_1941";2885;;19483;"ing-j-jan-de-graaf";"deGraaf";"Jan";
"NL_deGraaf_Louw_1930";1823;;18713;"l-louw-de-graaf";"deGraaf";"Louw";
"NL_deGraaf_Machiel_1969";3290;"vimrfzbm85yl";21985;"m-machiel-de-graaf";"deGraaf";"Machiel";
"NL_deGraaf_Theo_1942";2311;;20873;"th-theo-de-graaf";"deGraaf";"Theo";
"NL_deGraaf_Thom_1957";2517;;19139;"mr-thc-thom-de-graaf";"deGraaf";"Thom";
"NL_deGraaff_Els_1946";2788;;19386;"drs-ea-els-de-graaff-van-meeteren";"deGraaff-vanMeeteren";"Els";
"NL_deGrave_Frank_1955";2734;;19332;"mr-fhg-frank-de-grave";"deGrave";"Frank";
"NL_deGroot_Tjeerd_1968";3524;"vk9hlnkm9kul";22776;"dr-tjc-tjeerd-de-groot";"deGroot";"Tjeerd";
"NL_deHaan_Henk_1941";2918;;19516;"profdr-h-henk-de-haan";"deHaan";"Henk";
"NL_deHamer_Henk_1940";1920;;18810;"h-henk-de-hamer";"deHamer";"Henk";
"NL_deHoop_Jaap_1948";2798;;19396;"mr-jg-jaap-de-hoop-scheffer";"deHoop-Scheffer";"Jaap";
"NL_deJager_Jan_1969";3153;;21463;"mrdrs-jc-jan-kees-de-jager";"deJager";"Jan-Kees";
"NL_deJong_Arie_1953";2972;;19570;"ir-arie-de-jong";"deJong";"Arie";
"NL_deJonge_Corinne_1976";;"vj0khuxzi6ha";22196;"drs-ce-corinne-ellemeet";"deJonge";"Corinne-Elisabeth";""
"NL_deJong_Gerrit_1944";2984;;19582;"drs-g-gerrit-de-jong";"deJong";"Gerrit";
"NL_deJong_Leon_1982";3220;"vif4b9ch34ul";21924;"lwe-leon-de-jong";"deJong";"Leon";
"NL_deJong_Mechteld_1939";2986;;19584;"dr-mdthm-mechtild-de-jong";"deJong";"Mechteld";
"NL_deJong_Winny_1958";2323;;20887;"we-winny-de-jong";"deJong";"Winny";
"NL_deJonge_Aat_1953";2711;;19309;"mr-abl-aat-de-jonge";"deJonge";"Aat";
"NL_deKam_Flip_1946";1912;;18802;"mr-ca-flip-de-kam";"deKam";"Flip";
"NL_Dekker_Fred_1946";2356;;20945;"drs-fa-fred-dekker";"Dekker";"Fred";
"NL_Dekker_Sander_1975";3394;"vj46fesc70px";22271;"drs-s-sander-dekker";"Dekker";"Sander";
"NL_Dekker_Suzanne_1949";2664;;19262;"mr-s-suzanne-dekker";"Dekker";"Suzanne";
"NL_deKok_Ton_1942";2764;;19362;"dr-achm-ton-de-kok";"deKok";"Ton";
"NL_deKoning_Marijn_1943";2525;;19147;"mr-jm-marijn-de-koning";"deKoning";"Marijn";
"NL_deKorte_Rudolf_1936";1948;;18838;"dr-rw-rudolf-de-korte";"deKorte";"Rudolf";
"NL_deKrom_Paul_1963";2414;;21032;"drs-p-paul-de-krom";"deKrom";"Paul";
"NL_deLange_Jeroen_1968";3247;;22081;"mrdrs-j-jeroen-de-lange";"deLange";"Jeroen";
"NL_deLange_Leendert_1972";3449;"vjshff8w58zs";22505;"drs-la-leendert-de-lange";"deLange";"Leendert";
"NL_deLeeuw_Johan_1953";2805;;19403;"ir-jf-johan-de-leeuw";"deLeeuw";"Johan";
"NL_deLiefde_Bart_1976";3259;"vifj19sxx8x2";21931;"bch-bart-de-liefde";"deLiefde";"Bart";
"NL_deMilliano_Jacques_1955";2229;;19054;"drs-j-jacques-de-milliano";"deMilliano";"Jacques";
"NL_deMos_Richard_1976";3183;;21831;"r-richard-de-mos";"deMos";"Richard";
"NL_denBoer_Monica_1963";3525;"vk9hlv1cy3um";22777;"profdr-mgw-monica-den-boer";"denBoer";"Monica";
"NL_deNeree_Frans_1943";2333;;20902;"mr-fjfm-frans-de-neree-tot-babberich";"deNeree-tot-Babberich";"Frans";
"NL_denOuden_Greetje_1940";2740;;19338;"mjh-greetje-den-ouden-dekkers";"denOuden-Dekkers";"Greetje";
"NL_Depla_Staf_1960";2292;;19117;"ir-gchfm-staf-depla";"Depla";"Staf";
"NL_dePree_Wilfried_1938";2674;;19272;"dr-wa-wilfried-de-pree";"dePree";"Wilfried";
"NL_deRooij_Nathalie_1973";3101;;21397;"n-nathalie-de-rooij";"deRooij";"Nathalie";
"NL_deRoon_Raymond_1952";3126;"vhfw2rplyrmb";21440;"mr-r-raymond-de-roon";"deRoon";"Raymond";
"NL_deRoos_Trix_1957";3182;;21688;"b-trix-de-roos-consemulder";"deRoos-Consemulder";"Trix";
"NL_deRouwe_Sander_1980";3054;"vhdf1dj4zrz4";21338;"s-sander-de-rouwe";"deRouwe";"Sander";
"NL_deRuiter_Piet_1956";2334;;20908;"p-piet-de-ruiter";"deRuiter";"Piet";
"NL_deSwart_Ton_1962";1842;;18732;"ah-ton-de-swart";"deSwart";"Ton";
"NL_deVree_Henk_1954";3551;"vkaqaxadqiy4";22840;"jh-henk-de-vree";"deVree";"Henk";
"NL_deVries_Albert_1955";3364;"vj0rd5w56pdo";22214;"aa-albert-de-vries";"deVries";"Albert";
