sep=;
"res_entry_id";"pers_id";"res_entry_start";"res_entry_end";"political_function";"parliament_id"
"NO_Bondevik_Kjell-Magne_1947__12";"NO_Bondevik_Kjell-Magne_1947";"30sep2005";"30sep2005";"NT_LE_T3_NA_01";"NO_NT_2001"
"NO_Devold_Kristin-Krohn_1961__4";"NO_Devold_Kristin-Krohn_1961";"30sep2005";"30sep2005";"NT_LE_T3_NA_01";"NO_NT_2001"
"NO_Gabrielsen_Ansgar_1955__4";"NO_Gabrielsen_Ansgar_1955";"30sep2005";"30sep2005";"NT_LE_T3_NA_01";"NO_NT_2001"
"NO_Haugland_Valgerd-Svarstad_1956__6";"NO_Haugland_Valgerd-Svarstad_1956";"30sep2005";"30sep2005";"NT_LE_T3_NA_01";"NO_NT_2001"
