sep=;
"boundary_side";"res_entry_id";"pers_id";"res_entry_start";"res_entry_end";"political_function";"parliament_id"
"last_end_before_date";"NL_Dral_Rosemarijn_1985__1";"NL_Dral_Rosemarijn_1985";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Eerdmans_Joost_1971__33";"NL_Eerdmans_Joost_1971";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_elAbassi_Ismail_1983__1";"NL_elAbassi_Ismail_1983";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Ellian_Ulysse_1988__2";"NL_Ellian_Ulysse_1988";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Ergin_Do_1992__1";"NL_Ergin_Do_1992";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Erkens_Silvio_1990__2";"NL_Erkens_Silvio_1990";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Esser_Eric_1985__1";"NL_Esser_Eric_1985";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Faddegon_Chris_1954__1";"NL_Faddegon_Chris_1954";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Flach_Andr_1976__1";"NL_Flach_Andr_1976";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Gabriels_Geert_1979__1";"NL_Gabriels_Geert_1979";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Graus_Dion_1967__9";"NL_Graus_Dion_1967";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Grinwis_Pieter_1979__2";"NL_Grinwis_Pieter_1979";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Heite_Annemarie_1970__1";"NL_Heite_Annemarie_1970";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Helder_Lilian_1973__9";"NL_Helder_Lilian_1973";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Hertzberger_Rosanne_1984__1";"NL_Hertzberger_Rosanne_1984";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Heutink_Hidde_1993__1";"NL_Heutink_Hidde_1993";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Hirsch_Dani_1968__1";"NL_Hirsch_Dani_1968";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Holman_Harm_1957__1";"NL_Holman_Harm_1957";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Jansen_Dani_1970__1";"NL_Jansen_Dani_1970";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Jetten_Rob_1987__3";"NL_Jetten_Rob_1987";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Joseph_Agnes_1980__1";"NL_Joseph_Agnes_1980";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kahraman_Isa_1974__1";"NL_Kahraman_Isa_1974";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kamminga_Roelien_1978__2";"NL_Kamminga_Roelien_1978";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kathmann_Barbara_1978__2";"NL_Kathmann_Barbara_1978";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kisteman_Arend_1984__1";"NL_Kisteman_Arend_1984";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Klaver_Jesse_1986__18";"NL_Klaver_Jesse_1986";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Koekkoek_Marieke_1989__3";"NL_Koekkoek_Marieke_1989";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kops_Alexander_1984__3";"NL_Kops_Alexander_1984";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kostic_Ines_1984__1";"NL_Kostic_Ines_1984";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Kroeger_Suzanne_1976__3";"NL_Kroeger_Suzanne_1976";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Krul_Marinus_1994__2";"NL_Krul_Marinus_1994";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Lahlah_Esmah_1979__1";"NL_Lahlah_Esmah_1979";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Maatoug_Senna_1989__2";"NL_Maatoug_Senna_1989";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Markuszower_Gidi_1977__3";"NL_Markuszower_Gidi_1977";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Martens_Claire_1987__1";"NL_Martens_Claire_1987";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Meulenkamp_Wim_1975__1";"NL_Meulenkamp_Wim_1975";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Michon_Ingrid_1976__2";"NL_Michon_Ingrid_1976";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Mohandis_Mohammed_1985__17";"NL_Mohandis_Mohammed_1985";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Mooiman_Jeremy_1995__1";"NL_Mooiman_Jeremy_1995";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Mulder_Edgar_1961__3";"NL_Mulder_Edgar_1961";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Mutluer_Songuel_1979__2";"NL_Mutluer_Songuel_1979";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Nijhof_Jeanet_1962__1";"NL_Nijhof_Jeanet_1962";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Nordkamp_Jimme_1996__1";"NL_Nordkamp_Jimme_1996";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Omtzigt_Pieter_1974__9";"NL_Omtzigt_Pieter_1974";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Ouwehand_Esther_1976__12";"NL_Ouwehand_Esther_1976";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Palmen_Sandra_1972__1";"NL_Palmen_Sandra_1972";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Paternotte_Jan_1984__3";"NL_Paternotte_Jan_1984";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Patijn_Mariette_1966__1";"NL_Patijn_Mariette_1966";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Paulusma_Wieke_1978__2";"NL_Paulusma_Wieke_1978";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Pierik_Cor_1965__1";"NL_Pierik_Cor_1965";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Pijpelink_Anita_1974__1";"NL_Pijpelink_Anita_1974";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Piri_Katalin_1979__2";"NL_Piri_Katalin_1979";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Podt_Anne_1975__2";"NL_Podt_Anne_1975";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Pool_Joeri_1993__1";"NL_Pool_Joeri_1993";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Postma_Wytske_1977__2";"NL_Postma_Wytske_1977";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Rajkowski_Queeny_1988__3";"NL_Rajkowski_Queeny_1988";"29mar2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Ram_Dennis_1974__1";"NL_Ram_Dennis_1974";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Rep_Robert_1965__1";"NL_Rep_Robert_1965";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Rikkers_Mariska_1977__1";"NL_Rikkers_Mariska_1977";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Rooderkerk_Ilana_1987__2";"NL_Rooderkerk_Ilana_1987";"29mar2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Saris_Ilse_1975__1";"NL_Saris_Ilse_1975";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Six_Jesse_1994__1";"NL_Six_Jesse_1994";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Slagt_Elke_1977__1";"NL_Slagt_Elke_1977";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Smitskam_Peter_1958__1";"NL_Smitskam_Peter_1958";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Sneller_Joost_1982__3";"NL_Sneller_Joost_1982";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Soepboer_Jelle_1989__1";"NL_Soepboer_Jelle_1989";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Stoffer_Chris_1974__3";"NL_Stoffer_Chris_1974";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Stultiens_Luc_1993__1";"NL_Stultiens_Luc_1993";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Teunissen_Christine_1985__3";"NL_Teunissen_Christine_1985";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
"last_end_before_date";"NL_Thiadens_Folkert_1966__1";"NL_Thiadens_Folkert_1966";"04jul2024";"02oct2024";"NT_LE-LH_T3_NA_01";""
"last_end_before_date";"NL_Thijssen_Joris_1974__2";"NL_Thijssen_Joris_1974";"06dec2023";"02oct2024";"NT_LE-LH_T3_NA_01";"NL_NT-TK_2023"
